symbol name,API importance,API importance (accurate)
__tls_get_addr,1.000000,1-10^-380.976
memalign,1.000000,1-10^-380.976
__stack_chk_fail,1.000000,1-10^-373.320
__errno_location,1.000000,1-10^-370.790
free,1.000000,1-10^-367.816
malloc,1.000000,1-10^-367.010
exit,1.000000,1-10^-364.254
__fprintf_chk,1.000000,1-10^-361.350
strlen,1.000000,1-10^-358.977
fwrite,1.000000,1-10^-357.227
strcmp,1.000000,1-10^-355.262
memcpy,1.000000,1-10^-350.594
fclose,1.000000,1-10^-348.790
close,1.000000,1-10^-342.789
realloc,1.000000,1-10^-327.074
strerror,1.000000,1-10^-326.061
getenv,1.000000,1-10^-322.605
__ctype_b_loc,1.000000,1-10^-318.715
strncmp,1.000000,1-10^-318.385
__cxa_finalize,1.000000,1-10^-318.098
strcpy,1.000000,1-10^-317.971
fflush,1.000000,1-10^-317.816
fputc,1.000000,1-10^-316.845
strncpy,1.000000,1-10^-315.317
read,1.000000,1-10^-314.656
memset,1.000000,1-10^-313.804
__printf_chk,1.000000,1-10^-310.357
calloc,1.000000,1-10^-302.074
write,1.000000,1-10^-301.002
__sprintf_chk,1.000000,1-10^-292.852
__snprintf_chk,1.000000,1-10^-284.853
__vfprintf_chk,1.000000,1-10^-281.056
puts,1.000000,1-10^-279.776
fputs,1.000000,1-10^-278.488
strstr,1.000000,1-10^-275.408
fgets,1.000000,1-10^-272.902
abort,1.000000,1-10^-267.636
time,1.000000,1-10^-267.376
getpid,1.000000,1-10^-264.799
strcasecmp,1.000000,1-10^-260.084
setlocale,1.000000,1-10^-256.765
access,1.000000,1-10^-256.457
getuid,1.000000,1-10^-255.859
__assert_fail,1.000000,1-10^-252.116
__memcpy_chk,1.000000,1-10^-251.537
gettimeofday,1.000000,1-10^-243.104
ferror,1.000000,1-10^-241.040
fread,1.000000,1-10^-234.181
opendir,1.000000,1-10^-234.130
fork,1.000000,1-10^-233.025
unlink,1.000000,1-10^-232.767
closedir,1.000000,1-10^-232.498
fdopen,1.000000,1-10^-230.348
geteuid,1.000000,1-10^-226.766
__ctype_tolower_loc,1.000000,1-10^-225.764
qsort,1.000000,1-10^-222.823
socket,1.000000,1-10^-222.480
putchar,1.000000,1-10^-219.296
signal,1.000000,1-10^-217.663
dcgettext,1.000000,1-10^-217.605
stpcpy,1.000000,1-10^-216.487
sigaction,1.000000,1-10^-212.791
__strcpy_chk,1.000000,1-10^-212.586
sigemptyset,1.000000,1-10^-206.587
__vsnprintf_chk,1.000000,1-10^-204.802
__errno_location,1.000000,1-10^-200.871
close,1.000000,1-10^-199.500
sscanf,1.000000,1-10^-199.229
pipe,1.000000,1-10^-198.497
bindtextdomain,1.000000,1-10^-197.628
waitpid,1.000000,1-10^-197.152
getgid,1.000000,1-10^-196.781
feof,1.000000,1-10^-194.898
select,1.000000,1-10^-193.013
rename,1.000000,1-10^-192.198
getpwuid,1.000000,1-10^-191.798
kill,1.000000,1-10^-191.475
dup2,1.000000,1-10^-190.306
perror,1.000000,1-10^-189.952
read,1.000000,1-10^-189.881
connect,1.000000,1-10^-189.572
write,1.000000,1-10^-188.334
isatty,1.000000,1-10^-188.293
memchr,1.000000,1-10^-187.010
getpwnam,1.000000,1-10^-180.108
chdir,1.000000,1-10^-179.170
textdomain,1.000000,1-10^-178.714
__ctype_toupper_loc,1.000000,1-10^-177.899
getegid,1.000000,1-10^-176.714
getaddrinfo,1.000000,1-10^-174.420
readlink,1.000000,1-10^-173.396
strtod,1.000000,1-10^-171.606
strcat,1.000000,1-10^-171.435
mkdir,1.000000,1-10^-170.923
pthread_key_create,1.000000,1-10^-170.451
strncasecmp,1.000000,1-10^-169.054
chmod,1.000000,1-10^-169.015
ungetc,1.000000,1-10^-167.932
pthread_setspecific,1.000000,1-10^-167.516
freeaddrinfo,1.000000,1-10^-167.219
nanosleep,1.000000,1-10^-167.073
munmap,1.000000,1-10^-165.196
localtime,1.000000,1-10^-164.392
sigprocmask,1.000000,1-10^-164.089
pthread_once,1.000000,1-10^-163.947
__strncpy_chk,1.000000,1-10^-163.838
setsockopt,1.000000,1-10^-161.967
