symbol name,unweighted API importance
memalign,0.992406
__stack_chk_fail,0.967169
strlen,0.928867
exit,0.928643
__fprintf_chk,0.910106
fwrite,0.900503
__errno_location,0.899609
memcpy,0.897041
strcmp,0.881295
fclose,0.876829
close,0.847125
memset,0.840089
__cxa_finalize,0.831156
strerror,0.805695
getenv,0.803127
strncpy,0.803127
read,0.800112
strcpy,0.786935
__ctype_b_loc,0.785148
fputc,0.780346
strncmp,0.769403
write,0.758571
time,0.755332
__printf_chk,0.750307
abort,0.743160
fflush,0.741820
fputs,0.739363
__snprintf_chk,0.737465
__sprintf_chk,0.735455
fgets,0.727638
__assert_fail,0.725740
strstr,0.712563
getpid,0.710329
fread,0.698716
puts,0.691457
__memcpy_chk,0.683529
gettimeofday,0.674819
__vfprintf_chk,0.654941
strcasecmp,0.641653
access,0.627247
socket,0.620212
pthread_mutex_lock,0.613177
getuid,0.612507
select,0.610050
__strcpy_chk,0.609269
pthread_mutex_unlock,0.601675
qsort,0.598772
pthread_mutex_init,0.591290
__ctype_tolower_loc,0.590731
opendir,0.588833
closedir,0.585371
munmap,0.579676
sscanf,0.576661
dcgettext,0.571301
fork,0.565829
strtod,0.559017
setlocale,0.558906
connect,0.557566
setsockopt,0.553881
pthread_mutex_destroy,0.552987
sched_get_priority_max,0.552429
sched_get_priority_min,0.551759
sigaction,0.551424
signal,0.550865
unlink,0.546287
geteuid,0.545505
strcat,0.543049
feof,0.532217
stpcpy,0.531547
__vsnprintf_chk,0.528085
putchar,0.523171
sigemptyset,0.520603
__strncpy_chk,0.515578
getaddrinfo,0.513121
ferror,0.505304
freeaddrinfo,0.502624
pipe,0.500949
recv,0.498157
poll,0.495142
__strcat_chk,0.493802
getcwd,0.489336
perror,0.488554
mkdir,0.486655
pthread_cond_wait,0.485650
pthread_cond_wait,0.485650
waitpid,0.484310
getgid,0.482747
getegid,0.482524
pthread_cond_init,0.480625
pthread_cond_init,0.480625
pthread_cond_signal,0.475042
pthread_cond_signal,0.475042
gethostname,0.471803
memchr,0.470575
asprintf,0.467113
bind,0.466890
dup2,0.465997
__ctype_toupper_loc,0.457956
pthread_cond_destroy,0.454383
pthread_cond_destroy,0.454383
shutdown,0.450028
strpbrk,0.449916
writev,0.443439
nanosleep,0.442769
ungetc,0.441876
kill,0.438191
__cxa_atexit,0.437298
__isoc99_sscanf,0.433948
bindtextdomain,0.432942
rand,0.432272
__vasprintf_chk,0.432161
rename,0.429816
strtof,0.424679
chdir,0.422669
sendmsg,0.421664
pthread_cond_broadcast,0.419430
pthread_cond_broadcast,0.419430
fseek,0.417532
readlink,0.409715
iconv_open,0.407370
recvmsg,0.407370
clock_gettime,0.403573
fdopen,0.399777
fscanf,0.394640
getpwuid,0.393300
__ctype_get_mb_cur_max,0.389726
chmod,0.384366
getsockopt,0.379899
strftime,0.373981
__memset_chk,0.373981
pthread_attr_init,0.372976
getsockname,0.371971
localtime,0.371413
getpwuid_r,0.370854
rewind,0.367058
localtime_r,0.366052
strncasecmp,0.365941
snprintf,0.364042
sigaddset,0.362702
getresuid,0.360916
getresgid,0.360469
sleep,0.357342
pthread_self,0.354774
isatty,0.353210
gai_strerror,0.350530
uname,0.349302
inet_ntop,0.346845
mbtowc,0.345617
getpwnam_r,0.344947
setenv,0.343495
posix_memalign,0.343495
getpwnam,0.342825
wctomb,0.341820
sprintf,0.340704
getpeername,0.339810
regcomp,0.337688
dup,0.337353
regexec,0.336125
regexec,0.336125
shmdt,0.335455
execv,0.335008
strcspn,0.332775
getservbyname,0.332105
regfree,0.331547
bind_textdomain_codeset,0.327415
inet_pton,0.326745
fchmod,0.326075
pthread_attr_destroy,0.325963
strspn,0.325070
nl_langinfo,0.321943
shmctl,0.315131
shmat,0.315020
strtok,0.309436
fsync,0.302401
__stpcpy_chk,0.298381
listen,0.297711
eventfd,0.296482
dirfd,0.294249
__longjmp_chk,0.293132
accept,0.290787
_setjmp,0.289112
send,0.288331
pipe2,0.288107
execvp,0.285427
execve,0.281072
remove,0.279844
link,0.278950
sigprocmask,0.276717
textdomain,0.275824
__syslog_chk,0.275154
getnameinfo,0.271915
sigfillset,0.271580
fchown,0.270352
regerror,0.269123
__open_2,0.265997
getppid,0.263428
ftell,0.260972
strerror_r,0.260748
setvbuf,0.252931
umask,0.251480
dcngettext,0.240089
inotify_init,0.237968
strncat,0.237186
inotify_add_watch,0.236628
fnmatch,0.234506
gmtime_r,0.234059
__h_errno_location,0.231602
inotify_rm_watch,0.231379
inet_aton,0.231156
openlog,0.230709
inotify_init1,0.229369
shmget,0.229369
chown,0.225237
pthread_cond_timedwait,0.224232
pthread_cond_timedwait,0.224232
random_r,0.222111
initstate_r,0.222111
usleep,0.219542
symlink,0.218090
iconv,0.215522
__read_chk,0.214405
__memmove_chk,0.213065
if_nametoindex,0.212060
socketpair,0.209939
sched_setscheduler,0.208934
pthread_attr_setdetachstate,0.208710
__asprintf_chk,0.205025
__fsetlocking,0.203127
gethostbyname,0.202345
__uflow,0.202233
sched_getscheduler,0.202122
sched_getparam,0.201675
__vsprintf_chk,0.201452
iconv_close,0.201117
fprintf,0.199442
__res_init,0.197655
frexp,0.191736
gmtime,0.190061
getgrgid_r,0.189838
tcsetattr,0.189056
isspace,0.187828
tcgetattr,0.187270
localeconv,0.185595
tolower,0.181351
times,0.180458
utimes,0.178448
popen,0.175768
unsetenv,0.175768
setsid,0.175433
rmdir,0.172306
getopt_long,0.171413
lchown,0.170631
getopt,0.170519
ctime,0.169068
fdopendir,0.167504
getxattr,0.167281
endservent,0.166834
lgetxattr,0.165382
setxattr,0.164489
llistxattr,0.164042
fgetxattr,0.163596
toupper,0.163484
splice,0.162479
listxattr,0.161697
flistxattr,0.161474
clearerr,0.158794
__strncat_chk,0.158682
flockfile,0.158124
funlockfile,0.158012
sched_yield,0.157901
realpath,0.157231
realpath,0.157231
pclose,0.156896
mbstowcs,0.155556
setuid,0.155332
tzset,0.144612
isalpha,0.143272
madvise,0.142602
clearenv,0.141150
putenv,0.140369
wcscoll,0.138135
timegm,0.136237
random,0.133668
alarm,0.132663
setmntent,0.131658
inet_ntoa,0.131323
endmntent,0.131100
recvfrom,0.129648
sendto,0.128532
secure_getenv,0.128308
raise,0.125516
wait,0.122948
isupper,0.122390
strverscmp,0.122278
pathconf,0.121496
setgid,0.119486
sigismember,0.118593
pthread_exit,0.118481
__realpath_chk,0.117700
pthread_attr_setschedparam,0.112228
pthread_setschedparam,0.111669
pthread_setcancelstate,0.111111
endpwent,0.109659
readv,0.109548
vsnprintf,0.109101
wcsxfrm,0.107761
setbuf,0.105081
pthread_attr_setschedpolicy,0.104858
execl,0.104634
pthread_attr_setinheritsched,0.104523
isprint,0.104299
inet_addr,0.104076
backtrace,0.102178
getrusage,0.101619
rand_r,0.100168
cfgetospeed,0.099944
pthread_getschedparam,0.098827
mempcpy,0.097041
mprotect,0.097041
pthread_attr_getschedpolicy,0.096482
semget,0.096371
sigdelset,0.095031
strchrnul,0.093467
isalnum,0.093244
clock,0.093021
__fread_chk,0.091457
getgrnam,0.091122
bsearch,0.090452
backtrace_symbols,0.090229
atoi,0.089671
strnlen,0.088442
semctl,0.086767
__isoc99_fscanf,0.085539
utime,0.084869
__sigsetjmp,0.082077
printf,0.081965
dirname,0.081072
ldexp,0.080737
epoll_ctl,0.080625
ftok,0.079955
vfprintf,0.079285
freopen,0.078504
getifaddrs,0.078392
freeifaddrs,0.078169
epoll_wait,0.077722
getmntent_r,0.073143
mbrtowc,0.072250
semop,0.071133
getlogin,0.071022
closelog,0.070463
__xpg_strerror_r,0.068230
getpgrp,0.068118
tcflush,0.067560
getmntent,0.066220
modf,0.065550
wcslen,0.064880
pthread_setcanceltype,0.063875
dgettext,0.063317
gethostbyname_r,0.063093
sync,0.062647
execlp,0.062200
getgroups,0.059743
__libc_current_sigrtmin,0.058850
__poll_chk,0.058291
vasprintf,0.057845
getpwent,0.056393
wcrtomb,0.056281
difftime,0.054495
fpathconf,0.053825
strsignal,0.053490
vsprintf,0.053043
msync,0.052150
__res_ninit,0.052038
errx,0.051591
__res_nclose,0.050921
setpwent,0.050586
asctime,0.049581
dl_iterate_phdr,0.049470
getgrgid,0.049358
epoll_create1,0.049023
mlock,0.048911
setitimer,0.048241
wcwidth,0.048241
__strtod_internal,0.048130
__vsyslog_chk,0.047906
jrand48,0.047795
initgroups,0.047683
cfsetospeed,0.047460
cfsetispeed,0.047236
rewinddir,0.047125
gettext,0.047125
tcgetpgrp,0.046790
warnx,0.045784
__xpg_basename,0.043328
fdatasync,0.042658
__res_state,0.041764
pselect,0.041094
strcasestr,0.040536
gethostbyaddr,0.040201
epoll_create,0.040201
getprotobyname,0.039866
mkdtemp,0.038861
ppoll,0.038749
strcoll,0.038303
setgroups,0.038303
daemon,0.038191
sbrk,0.038079
chroot,0.037744
sigsuspend,0.037744
dngettext,0.037409
unlockpt,0.037409
setlinebuf,0.037298
clock_getres,0.036851
grantpt,0.036739
memmem,0.036739
setpriority,0.036628
setpgid,0.036516
iswspace,0.035846
ctime_r,0.035623
putwc,0.035511
seteuid,0.035399
