opcode,API importance,API importance (accurate)
F_SETFD(0x2),1.000000,1-10^-380.976
F_GETFL(0x3),1.000000,1-10^-380.976
F_SETFL(0x4),1.000000,1-10^-336.556
F_GETFD(0x1),1.000000,1-10^-169.688
F_SETLKW(0x7),1.000000,1-10^-146.349
F_GETOWN_EX(0x10),1.000000,1-10^-139.291
F_DUPFD(0x0),1.000000,1-10^-97.784
F_SETLK(0x6),1.000000,1-10^-41.554
F_GETLK(0x5),1.000000,1-10^-13.747
F_SETOWN(0x8),0.999993,1-10^-5.127
F_SETSIG(0xa),0.999873,1-10^-3.895
F_GETOWN(0x9),0.254316,1-10^-0.127
F_SETOWN_EX(0xf),0.005552,1-10^-0.002
F_GETSIG(0xb),0.000050,1-10^-0.000
F_GETOWNER_UIDS(0x11),0.000050,1-10^-0.000
F_SETLK64(0xd),0.000000,1-10^-0.000
F_GETLK64(0xc),0.000000,1-10^-0.000
F_SETLKW64(0xe),0.000000,1-10^-0.000
