opcode,API importance,API importance (accurate)
TCGETS(0x5401),1.000000,1-10^-259.534
TCSETS(0x5402),1.000000,1-10^-112.923
FIONREAD(0x541b),1.000000,1-10^-103.323
TIOCGWINSZ(0x5413),1.000000,1-10^-91.684
TIOCGPGRP(0x540f),1.000000,1-10^-32.177
TIOCSWINSZ(0x5414),1.000000,1-10^-30.016
TIOCSCTTY(0x540e),1.000000,1-10^-20.872
FIONBIO(0x5421),1.000000,1-10^-19.735
TIOCGPTN(0x80045430),1.000000,1-10^-19.498
TIOCSPTLCK(0x40045431),1.000000,1-10^-18.860
BLKGETSIZE(0x1260),1.000000,1-10^-17.151
BLKGETSIZE64(0x80081272),1.000000,1-10^-16.664
TIOCSPGRP(0x5410),1.000000,1-10^-13.313
BLKSSZGET(0x1268),1.000000,1-10^-13.221
FDGETPRM(0x80200204),1.000000,1-10^-13.162
BLKPBSZGET(0x127b),1.000000,1-10^-10.285
TIOCSETD(0x5423),1.000000,1-10^-9.674
BLKRRPART(0x125f),1.000000,1-10^-9.136
TIOCMGET(0x5415),1.000000,1-10^-8.267
TCSBRK(0x5409),1.000000,1-10^-6.463
TIOCNOTTY(0x5422),1.000000,1-10^-6.359
BLKFLSBUF(0x1261),1.000000,1-10^-6.006
FDFLUSH(0x24b),1.000000,1-10^-6.002
BLKALIGNOFF(0x127a),0.999999,1-10^-5.983
FIBMAP(0x1),0.999998,1-10^-5.641
TIOCMSET(0x5418),0.999997,1-10^-5.598
BLKRAGET(0x1263),0.999997,1-10^-5.503
FIGETBSZ(0x2),0.999993,1-10^-5.158
TIOCLINUX(0x541c),0.999993,1-10^-5.126
USBDEVFS_RELEASEINTERFACE(0x80045510),0.999983,1-10^-4.768
BLKROGET(0x125e),0.999965,1-10^-4.461
USBDEVFS_CLAIMINTERFACE(0x8004550f),0.999927,1-10^-4.137
USBDEVFS_CONNECTINFO(0x40085511),0.999831,1-10^-3.773
USBDEVFS_CLEAR_HALT(0x80045515),0.999737,1-10^-3.580
BLKDISCARD(0x1277),0.999438,1-10^-3.251
TIOCGSID(0x5429),0.999363,1-10^-3.196
BLKPG(0x1269),0.999354,1-10^-3.190
BLKBSZGET(0x80081270),0.999339,1-10^-3.180
TIOCGLCKTRMIOS(0x5456),0.999294,1-10^-3.151
TIOCSLCKTRMIOS(0x5457),0.999294,1-10^-3.151
BLKSECDISCARD(0x127d),0.998750,1-10^-2.903
WDIOC_GETTIMEOUT(0x80045707),0.998749,1-10^-2.903
FDFMTBEG(0x247),0.998746,1-10^-2.902
FDFMTEND(0x249),0.998746,1-10^-2.902
FDFMTTRK(0x400c0248),0.998746,1-10^-2.902
TIOCMBIS(0x5416),0.998187,1-10^-2.742
TIOCCONS(0x541d),0.998001,1-10^-2.699
BLKRASET(0x1262),0.997498,1-10^-2.602
TIOCGETD(0x5424),0.997099,1-10^-2.537
TUNSETIFF(0x400454ca),0.996802,1-10^-2.495
TIOCGSERIAL(0x541e),0.996775,1-10^-2.492
TIOCEXCL(0x540c),0.995630,1-10^-2.360
VIDIOC_QUERYCAP(0x80685600),0.993830,1-10^-2.210
