file name,API importance,API importance (accurate)
/dev,1.000000,1-10^-383.953
/etc,1.000000,1-10^-383.951
/proc/sys,1.000000,1-10^-383.949
/proc/sys/kernel,1.000000,1-10^-383.949
/sys,1.000000,1-10^-383.948
/etc/localtime,1.000000,1-10^-381.585
/proc/self,1.000000,1-10^-381.585
/dev/tty,1.000000,1-10^-381.582
/proc/meminfo,1.000000,1-10^-381.582
/sys/devices,1.000000,1-10^-381.582
/sys/devices/system,1.000000,1-10^-381.582
/proc/sys/kernel/ngroups_max,1.000000,1-10^-381.582
/proc/self/maps,1.000000,1-10^-381.582
/proc/stat,1.000000,1-10^-381.582
/proc/sys/kernel/rtsig-max,1.000000,1-10^-381.582
/sys/devices/system/cpu,1.000000,1-10^-381.582
/proc/sys/vm,1.000000,1-10^-381.483
/proc/sys/vm/overcommit_memory,1.000000,1-10^-381.483
/sys/devices/system/cpu/online,1.000000,1-10^-381.483
/etc/nsswitch.conf,1.000000,1-10^-274.541
/proc/net,1.000000,1-10^-225.716
/etc/resolv.conf,1.000000,1-10^-221.307
/dev/null,1.000000,1-10^-199.904
/etc/host.conf,1.000000,1-10^-197.911
/etc/gai.conf,1.000000,1-10^-177.011
/etc/mtab,1.000000,1-10^-160.037
/proc/mounts,1.000000,1-10^-159.623
/dev/urandom,1.000000,1-10^-126.188
/dev/console,1.000000,1-10^-124.139
/sys/fs,1.000000,1-10^-121.833
/proc/filesystems,1.000000,1-10^-121.326
/sys/fs/selinux,1.000000,1-10^-112.440
/proc/self/fd,1.000000,1-10^-103.636
/proc/self/exe,1.000000,1-10^-88.538
/etc/fstab,1.000000,1-10^-82.776
/proc/self/loginuid,1.000000,1-10^-82.168
/etc/machine-id,1.000000,1-10^-81.529
/proc/self/cmdline,1.000000,1-10^-72.147
/dev/fd,1.000000,1-10^-68.701
/dev/cdrom,1.000000,1-10^-64.528
/dev/cd,1.000000,1-10^-60.084
/dev/floppy,1.000000,1-10^-59.656
/dev/acd,1.000000,1-10^-58.880
/proc/*/status,1.000000,1-10^-56.543
/dev/pts,1.000000,1-10^-55.227
/etc/terminfo,1.000000,1-10^-48.262
/dev/shm,1.000000,1-10^-45.207
/etc/pango,1.000000,1-10^-43.284
/dev/random,1.000000,1-10^-39.163
/sys/dev,1.000000,1-10^-38.684
/sys/class,1.000000,1-10^-35.021
/dev/kmsg,1.000000,1-10^-30.980
/proc/sys/crypto,1.000000,1-10^-29.437
